SrNo,Name,RegNo,State,City,Address,PIN,SectorWorking
1,Aadi Rang Foundation,IV-230,Tripura, Kulai ,"Shri Surajit Debbarmas/O Shri Jogindra Debbarma Of 149,Shambhuram Para, East Nalicharap.S.Ambassa",,Art & Culture
2,Aadimjati Khaokluk Samaj Seba Pamang Maharaj Society,6835,Tripura, Kowaifang ,"Kowaifang, P.O.: Kowaifang, P.S.: Baikhora,Santir Bazar, Dist.: South Tripura. Pin-799141",799141,NaN
3,Abalamban,1500,Tripura, Agartala ,"Abalamban,""Apnaghar"",Airport Road,Barjala(Near Trtc Workshop),Agartala,Tripura,Pin-799002",799002,"Environment & Forests,Vocational Training,Women's Development & Empowerment"
4,Abhel Hoda Kalyan Samity,5551,Tripura, Amarpur ,Taidu Bari,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Differently Abled,Environment & Forests,Health & Family Welfare,Legal Awareness & Aid,Micro Finance (SHGs),Minority Issues,Sports,Tribal Affairs,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs"
5,Abhigyan Ex Navodayan Foundation,8860,Tripura, Kamalpur ,"Ward No 3, Kamalpur, P.O.Kamalpurp.S.Kamalpur, Distdhalai, Pin799285",799285,"Art & Culture,Children,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Nutrition,Rural Development & Poverty Alleviation,Sports,Vocational Training,Skill Development"
6,Abhimukh - Socio Cultural Organization,7845,Tripura, Udaipur ,"Chanban, P.O- R.K.Pur",,NaN
7,Abhoy Mission,1947 under 1860 Socities Act,Tripura, Agartala ,"Abhoy Mission, Ramnagar Road No. 1, P.O- Ramnagar, Agartala, Tripura - 799002.",799002,"Children,Differently Abled,Education & Literacy,Aged/Elderly,Vocational Training,Women's Development & Empowerment"
8,Abohomaan,8222 of 2019,Tripura, Kailashahar ,"Boulapassa, P.Okailashahar, Kailashahar, Unakoti District, Tripura",,NaN
9,Achin Baba Sangha,3231,Tripura, Udaipur ,Registered Address- Vill,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Differently Abled,Drinking Water,Education & Literacy,Environment & Forests,Health & Family Welfare,Labour & Employment,Micro Small & Medium Enterprises,Women's Development & Empowerment,Skill Development"
10,Adarsha Sangha,3196,Tripura, Dharmanagar ,"Vill-Dewanpasha, Po-Dewanpasha, Ps-Dharmanagar",,"Animal Husbandry, Dairying  &  Fisheries,Agriculture,Art & Culture,Children,Disaster Management,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Information & Communication Technology,Legal Awareness & Aid,Labour & Employment,Micro Finance (SHGs),Micro Small & Medium Enterprises,New & Renewable Energy,Panchayati Raj,Rural Development & Poverty Alleviation,Science & Technology,Sports,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment"
1,'Deep' Development For Environment Education Programme,82,Jharkhand, Godda ,"Deep , Gandhi Nagar, Godda ",,"Children,Civic Issues,Education & Literacy,Legal Awareness & Aid"
2,A.R.Associate.,10078/8040/2011,Jharkhand, Jamshedpur ,"Flatno.C/1, Govinda Block , Sri Krishna Udyan, Jawaharnagar, Mango,Jamshedpur",,Education & Literacy
3,Aabad Social Welfare Foundation,U85300JH2022NPL019769,Jharkhand, Jharkhand ,"Jhirky Kathara, Bokaro, Bokaro, Jharkhand, India, 829116",829116,"Agriculture,Art & Culture,Children,Education & Literacy,Environment & Forests,Food Processing,Housing,Human Rights,Water Resources,Women's Development & Empowerment,Skill Development"
4,Aabha Creative Organization,127/2015-16,Jharkhand, Hazaribag ,"Prem Nagar, Sindoor, Hazaribag ",,"Education & Literacy,Health & Family Welfare,Vocational Training"
5,Aadarsh Gramin Swarajya,8943/154/2014,Jharkhand, Chainpur ,Near Raja Garhkashyap Muhalla,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Children,Drinking Water,Education & Literacy,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Land Resources,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Nutrition,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment"
6,Aadarsh Gramin Swarajya Sansthan,842/2011-12,Jharkhand, Chainpur ,Ganesh Kumarsecretaryaadarsh Gramin Swarajya Sansthan Vill Po Ps- Chainpur (Kashyap Muhlla)Pin- 822110,822110,"Agriculture,Children,Drinking Water,Education & Literacy,Food Processing,Health & Family Welfare,HIV/AIDS,Land Resources,Micro Finance (SHGs),Nutrition,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Youth Affairs"
7,Aadarsh Jansewa Society ,859,Jharkhand, Daltonganj ,"House No. 71, Villramsagar, P.Ophulang, P.S.Lesliganj Palamu Jharkhand",,"Health & Family Welfare,Rural Development & Poverty Alleviation"
8,Aadikala Manch,1378,Jharkhand, Simdega ,"C/O: Banphool Nayakvill- Bongram ,Po- Bongram, Ps- Kolebira",,Art & Culture
9,Aadim Development Society,134,Jharkhand, Saraikela Kharsawan ,"Vill- Katia, Po- Chandnl, Dist- Seraikela-Kharswan Jharkhand- 832401",832401,"Agriculture,Art & Culture,Children,Drinking Water,Health & Family Welfare,Human Rights,Sports,Women's Development & Empowerment"
10,Aadivasi Mamta Jiwan Darpan Sanstha,200,Jharkhand, Lohardaga ,Bhandra (Lohardaga),,"Animal Husbandry, Dairying  &  Fisheries,Dalit Upliftment,Drinking Water,Education & Literacy,Health & Family Welfare,Micro Small & Medium Enterprises,Minority Issues,Rural Development & Poverty Alleviation,Tourism,Tribal Affairs,Women's Development & Empowerment,Youth Affairs"
1,Brave Vision Sports Foundation,U85300TN2021NPL148796,Tamil Nadu, Seethapatty  ,S/O-Kumarasamy D.No-24K/18 Vanchiaman Petrol Bunk(Opp) Seethapatty Dindigul Tn 624619 In,624619,"Education & Literacy,Sports"
2,Panruti Ondrupatta Ilaigner Kazhakam,100/2014,Tamil Nadu, Panruti ,"25,Kamaraj Nagar",,"Drinking Water,Education & Literacy,Environment & Forests,Human Rights,Information & Communication Technology,Labour & Employment,Women's Development & Empowerment,Youth Affairs"
3,(Pazhani) Kiranur Sanmarga Gurukulam,12/1956,Tamil Nadu, Palani ," (Pazhani)Kiranursanmarga Gurukulamjothipuram,Keeranur,Palani(Tk)Dindigul(Dt)624617",624617,"Children,Education & Literacy,Aged/Elderly,Food Processing,Skill Development"
4,2 The Children Foundation,126,Tamil Nadu, Chennai ,"No.5, Gandhi Salai Lane,Pazhavanthangal,Alandur,Chennai-600114.",600114,"Agriculture,Children,Differently Abled,Education & Literacy,Aged/Elderly,Environment & Forests,Human Rights,Micro Small & Medium Enterprises,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs,Skill Development"
5,4 M Trust,178/2005,Tamil Nadu, Chennai ,"No-4, Buhari Building, Moores Road, Chennai-600006",600006,"Women's Development & Empowerment,Any Other"
6,63 Nayanars Charitable Trust,74/2021,Tamil Nadu, Tiruvannamalai ,"No.3, Girivalam Nagar Adiannamalai, Tiruvannamalai",,"Children,Civic Issues,Disaster Management,Education & Literacy,Food Processing,Rural Development & Poverty Alleviation,Any Other"
7,A C T Educational And Charitable Trust,3847/2007,Tamil Nadu, Chennai ,"No.2070, 1St Street, Vasantham Colony,Anna Nagar, Chennai-600040",600040,NaN
8,A D S Educational Trust,1479/2009,Tamil Nadu, Chennai ,"G4, Salmasanjana Castle, 185 Choolaimedu High Road, Choolaimedu",,Education & Literacy
9,A K Educational Trust,31/BK4/2014,Tamil Nadu, Theni ,"No.6, Bazzar Street, Periyakulam Road, Bommaiyakaranpatti Allinagaram, Theni-625531, Tamilnadu, India.",625531,"Children,Differently Abled,Education & Literacy,Human Rights,Rural Development & Poverty Alleviation,Water Resources,Women's Development & Empowerment,Skill Development,Agriculture,Health & Family Welfare"
10,A K Social Welfare Trust,21/2019,Tamil Nadu, Vriddhachalam ,"A K Social Welfare Trust187 Appar Street,Periyar Nagar South,Vriddhachalam-606001,Cuddalore Districttamilnadu",606001,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,HIV/AIDS,Human Rights,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Micro Finance (SHGs),Micro Small & Medium Enterprises,Minority Issues,Nutrition,Panchayati Raj,Scientific & Industrial Research,Urban Development & Poverty Alleviation,Vocational Training,Water Resources,Women's Development & Empowerment,Any Other"
1,Aarigaon Sanskrit Pathsala Managing Committee,1560/LD/2006,Sikkim, Gyalshing ,"Yangthang Block, Aarigaon, Po Langang, Gyalshing, West Sikkim- 737111",737111,NaN
2,Aho Yangtam Sanskrit Patshala,05/sp/sikkim,Sikkim, Gangtok ,Aho Yangtam Sanskrit Pathsala P.O Ranipool East Sikkim Gangtok 737135,737135,NaN
3,Ajambari Seva Sangh,1443,Sikkim, Gyalshing ,General Secretaryajambari Seva Sanghsakyoungwest Sikkim737111,737111,"Art & Culture,Education & Literacy,Environment & Forests,Children,Disaster Management,Sports,Tribal Affairs,Vocational Training"
4,Akhil Sikkim Asahaya Kalyan Samiti,717,Sikkim, Rongli ,"Villdalapchan, Porongli, Psrongli",,NaN
5,All Sikkim Muslim Women'S Welfare Association,2069,Sikkim, Gangtok ,Raushan Manzil Building Near Helipad Lower Burtuk Gangtok East Sikkim,,NaN
6,Arithang Neel Gagan Development Society,"1173, Vol - I",Sikkim," Vol - I, Gyalshing  ","Martam, Gyalshing, West Sikkim",,Legal Awareness & Aid
7,Arithang Social Welfare Association,"58 Vol.No. 1 Dated 9.10.1980, ",Sikkim," , Gangtok ","Arithang, Gangtok, East Sikkim",,Children
8,Arithang Tinziring Amar Jyoti Sewa Samiti,1585,Sikkim, Geyalsing ,"Arithang Tinziring, West Sikim",,NaN
9,Association For Social Health In India Sikkim,460,Sikkim, Gangtok ,"Lower Burtuk,Near Helipad Indira Byepass Road,Gangtok East Sikkim",,"Children,Health & Family Welfare,Women's Development & Empowerment,Youth Affairs"
10,Baptist Church In Sikkim,525,Sikkim, Gangtok ,"P.O. Namcheybong, Pakyong",,"Children,Education & Literacy,Any Other"
1,A B Skills,1994551,Jammu & Kashmir, Srinagar ,"51, Darulaslam, New Colony, Batamaloo",,"Vocational Training,Education & Literacy,Information & Communication Technology,Micro Small & Medium Enterprises,Rural Development & Poverty Alleviation,Civic Issues,Women's Development & Empowerment,Youth Affairs"
2,A P J Memorial Educational Trust,01/86,Jammu & Kashmir, Ganderbal ,"Drugtengoo, Preng Kangan",,"Education & Literacy,Children,Differently Abled,Disaster Management,Environment & Forests,Health & Family Welfare,Human Rights,Legal Awareness & Aid,Sports,Vocational Training,Women's Development & Empowerment,Skill Development"
3,A R Azad Memorial Foundation,5813-S of 2009,Jammu & Kashmir, Pulwama ,Head Office Koil Pulwama Kashmir J ,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Human Rights,Information & Communication Technology,Labour & Employment,Legal Awareness & Aid,Rural Development & Poverty Alleviation,Sports,Tourism,Urban Development & Poverty Alleviation,Water Resources,Women's Development & Empowerment,Youth Affairs"
4,A.K. Builders Sanitations,2279-S,Jammu & Kashmir, Srinagar , Registered Office Court Road Srinagar,,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Children,Civic Issues,Differently Abled,Drinking Water,Education & Literacy,Aged/Elderly,Information & Communication Technology,Micro Finance (SHGs),Minority Issues,New & Renewable Energy,Tribal Affairs,Vocational Training,Women's Development & Empowerment"
5,A.N.I Group Ltd,6774-A-III-SGR,Jammu & Kashmir, Srinagar ,"Kursu Raj Baghsrinagar, Kashmir",,"Agriculture,Animal Husbandry, Dairying  &  Fisheries,Art & Culture,Civic Issues,Education & Literacy,Aged/Elderly,Food Processing,Information & Communication Technology,Micro Small & Medium Enterprises,Science & Technology,Vocational Training,Any Other"
6,Aab E Rawan,6957-S,Jammu & Kashmir, Srinagar ,Hawal Srinagar ,,"Art & Culture,Children,Differently Abled,Education & Literacy,Environment & Forests,Health & Family Welfare,Tourism,Youth Affairs,Skill Development"
7,Aabru Womens Welfare Society,5777-S ,Jammu & Kashmir, Srinagar ,"Bemina Hamdania Colony, ",,"Children,Differently Abled,Education & Literacy,Food Processing,HIV/AIDS,Human Rights,Women's Development & Empowerment,Art & Culture,Biotechnology,Disaster Management,Drinking Water,Health & Family Welfare,Minority Issues"
8,Aagaz-E- Hunar,848,Jammu & Kashmir, Tangmarg ,Chandilora Tangmarg Baramulla J,,"Art & Culture,Children,Education & Literacy,Aged/Elderly,Health & Family Welfare,Human Rights,Urban Development & Poverty Alleviation,Women's Development & Empowerment,Skill Development"
9,Aagosh Sultan Ul Arfeen Yateem Trust,337/PD/15,Jammu & Kashmir, Srinagar ,"Muslim Abad, Behind Arise Hyunai Showroom, Bye Pass, Bemina Srinagar, Kashmir",,"Agriculture,Art & Culture,Biotechnology,Education & Literacy,Environment & Forests,Health & Family Welfare,Human Rights,Information & Communication Technology,Right to Information & Advocacy,Scientific & Industrial Research,Women's Development & Empowerment,Skill Development"
10,Aal-E-Yaseen Human Resources Development Society,6382-S,Jammu & Kashmir, Srinagar ,"Dab Ganderbal ,Jammu And Kashmir 191131",191131,"Women's Development & Empowerment,Agriculture,Art & Culture,Children,Civic Issues,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,Human Rights,Legal Awareness & Aid,Minority Issues,New & Renewable Energy,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Water Resources"
1,02 Spa Salon Private Limited,U85100TG2008PTC061011,Telangana, Hyderabad ,"8-2-293/82, Plot No 564/A32/2, Road No 92, Mla Colony, Jubilee Hills",,"Rural Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment"
2,100 Smiles Charity Foundation,1588,Telangana, Hyderabad ,"Flat No: 503, Sai Residency, Kondapur",,Education & Literacy
3,1St Guardian Association,1605,Telangana, Hyderabad ,"C/O Indian Institute Of Aerospace Technology And Management, No:158",,NaN
4,21 Century Planet Foundation,U85300TG2022NPL163203,Telangana, Hyderabad ,"Flat No. 401, The Legend Apartments, 3-4-136,770 , Barakatpura",,"Environment & Forests,Any Other"
5,2Change Foundation,U80904TG2022NPL159348,Telangana, Hyderabad ,"P No 101 102 103, F No 304, Swetha, Extension , Rk Puram, Null, Hyderabad Telangana ",,"Education & Literacy,Health & Family Welfare,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Sports,Women's Development & Empowerment,Skill Development"
6,2Elms,63/2017,Telangana, Secunderabad ,"H.No.540/9, Plot No. 9, Jonnabanda, Old Alwal,Secunderabad - 500010",500010,NaN
7,7Fruits,39/2020,Telangana, Khammam ,"3-9-147, Mohan Road,",,"Dalit Upliftment,Disaster Management,Drinking Water,Education & Literacy,Vocational Training,Women's Development & Empowerment,Any Other,Skill Development"
8,90Millionsmiles Foundation,BK IV 31/2021,Telangana, Hyderabad ,"6-1-501/P/29, Mig Phase 1,Hayathnagar, Vanastalipuram S.O,K.V.Rangareddy, Telangana,India",,NaN
9,A & B Educational And Welfare Society,395/2008,Telangana, Nizamabad ,"Yaqubpura,Bodhan Road,Nizamabad",,Education & Literacy
10,A G Charitable Trust,4 OF 2022,Telangana, Mothkur ,"Door No:8-107, Mothkur Mandalam,Near Mro Office , Yadadri ,Bhuvanagiri-508277",508277,NaN
1,Project Implementing Commitee Kinnour,2506/82,Himachal Pradesh, Reckong Peo ,Project Implementing Commitee (Pic) Near Pnb Bank Reckong Peo Teh Kalpa Distt Kinnaur Himachal Pradesh Pin : 172107,172107,Women's Development & Empowerment
2,Aadarshni Welfare Society,1178/2018,Himachal Pradesh, Shimla ,"Lamba Cottage, Khalini, Shimla171002 (Hp)",171002,"Education & Literacy,Art & Culture,Children,Environment & Forests,Health & Family Welfare"
3,Aadhunik Education Society,668/94/C/H/RC,Himachal Pradesh, Dharmshala ,Aadhunik Public Schooltapovan Road Sidhpurdharmshala Distt-Kangra(H.P) Pin -176057,176057,Education & Literacy
4,Aakar Theatre Society,HPCD-1588,Himachal Pradesh, Mandi ,"Village- Sehli, Po- Sehli, Tehsil-Kotli, Dist.- Mandi, State- Himachal Pradesh, Pin: 175052",175052,Art & Culture
5,Aasra Foundation,1237/2018,Himachal Pradesh, Kangra ,Aasra Foundation C/O Sh Prakash Chand Village Ambari P.O. Malan Teh. Nagrota Bagwan Distt. Kangra Hp-176047,176047,"Children,Education & Literacy,Human Rights,Women's Development & Empowerment,Youth Affairs,Any Other"
6,Aasthawelfaresociety Nahan,119/96,Himachal Pradesh, Nahan ,Aastha Welfare Society Nahan Near Panchayat Bhawan Pucca Tank,,"Children,Differently Abled,Education & Literacy,Aged/Elderly,Vocational Training"
7,Aavishkaar Yaatraa ,394/2016,Himachal Pradesh, Palampur ,"Village Kamlehar, Mouza Kandbari",,Education & Literacy
8,Abhilashi Shiksha Samiti,48/2001,Himachal Pradesh, Mandi ,"Po Nerchowk,",,NaN
9,Abhinaya Durpan,396/2006,Himachal Pradesh, Shimla ,House No. 145/6Muslim Trust Buildinglower Bazar,,Art & Culture
10,Abhivibha Education And Environmental Development Welfare Society,278/2009,Himachal Pradesh, Shimla ,"Village Palyar,Po And Tehsil Sunni",,"Agriculture,Art & Culture,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education & Literacy,Aged/Elderly,Environment & Forests,Health & Family Welfare,HIV/AIDS,Human Rights,Legal Awareness & Aid,New & Renewable Energy,Nutrition,Panchayati Raj,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Sports,Tourism,Tribal Affairs,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment,Youth Affairs"
1,17000 Ft Foundation,U93000DL2012NPL2384152012-2013,Haryana, Guragaon ,"Q-139, South City-1, Gurgaon, Haryana, 122001",122001,"Education & Literacy,Tourism,Children,Rural Development & Poverty Alleviation"
2,37 Links Driver Welfare Society,HR019202002101,Haryana, Ballabhgarh ,"Plot No. 80, Sector58, Transport Nagar, Ballabhgarh, Faridabad (Hr)121004",121004,Any Other
3,3R Waste Foundation,U93000HR2016NPL066024,Haryana, Gurgaon ,"128, National Media Centre, Nh-8, Gurugram",,"Drinking Water,Environment & Forests,Micro Finance (SHGs),Urban Development & Poverty Alleviation,Vocational Training"
4,3Rd Bell Foundation,407-2021-2022,Haryana, Faridabad  ,H.No Fca -2760 S.G.M Nagar Faridabad-121001,121001,NaN
5,3Rzw Environment Foundation,AABCZ5990L,Haryana, Gurgaon ,"328 Eros Corporate Parkblock-K, Imt Manesargurugram, Haryana",,"Disaster Management,Education & Literacy,Environment & Forests,Micro Small & Medium Enterprises,New & Renewable Energy,Rural Development & Poverty Alleviation,Urban Development & Poverty Alleviation,Vocational Training,Women's Development & Empowerment"
6,A Better Chance Provider Charitable Trust,2015/11/25/20,Haryana, Bhiwani ,"House No. 355, Ram Nagar Colony, Bhiwani, Haryana",,"Agriculture,Art & Culture,Civic Issues,Drinking Water,Education & Literacy,Food Processing,Right to Information & Advocacy,Water Resources,Any Other,Skill Development"
7,A Foundation Trust,HR/GGN/2021/1815,Haryana, Gurgaon ,"S-235Ff Uppal, Southend, Sector-49",,"Art & Culture,Food Processing,Health & Family Welfare,Children,Education & Literacy,Environment & Forests,Human Rights,Vocational Training,Any Other,Skill Development"
8,A K Yuva Shakti Trust,1662,Haryana, Rohtak ,Village And Post Office Kharawar Tehsil Sampla District Rohtak Haryana,,"Children,Education & Literacy,Labour & Employment,Rural Development & Poverty Alleviation,Sports,Vocational Training,Youth Affairs,Any Other,Art & Culture,Women's Development & Empowerment"
9,A New Friends Club,HR/009/2022/00633,Haryana, Jind ,"Village Nidana, Distt. Jind-126114 (Haryana)",126114,"Agriculture,Education & Literacy,Human Rights,Information & Communication Technology,Legal Awareness & Aid,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Women's Development & Empowerment"
10,A S Education And Welfare Society,00874,Haryana, Bhiwani ,Vpo Tigrana Distt Bhiwani Haryana 127021,127021,"Education & Literacy,Vocational Training"
1,.Swami Shri Manoharranand Manu Seva Sangh,E/1479/SURAT,Gujarat, Surat ,"At. :- Kaveri Sangam , Anaval Crossta. :- Mahuva , Dist.:- Surat",,"Education & Literacy,Aged/Elderly,Health & Family Welfare,Women's Development & Empowerment,Any Other"
2,1995Hope Of Light Association,U85300GJ2022NPL134966,Gujarat, Anand ,7/A Bhailal Residency Nr Sai Baba Mandir Village Karamsad (M) Taluka Anand Dist. Anand Gujarat India 388325,388325,"Children,Education & Literacy,Health & Family Welfare,Human Rights,Women's Development & Empowerment,Youth Affairs,Any Other,Skill Development"
3,1Million Entrepreneurs International Forum,U80903GJ2023NPL138272,Gujarat, Ahmedabad  ,"C-504,Parmeshwar-4,School,Bh Godrej Garden City,Jagatpur Ahmedabad Ahmedabad Gj 382470 India",382470,NaN
4,365 Foundation Rajkot,E – 11222 – RAJKOT,Gujarat, Rajkot ,“Soham” Shree Ram Park Main Road Near Varudi Dairy Farm Behind Balaji Hall 150 Feet Ring Road,,NaN
5,451 Varsh Juna Patliya Virvadi Hanuman Charitable Trust,A/590/NAVSARI,Gujarat, Navsari ,"Beside Virvadi Temple,Dharagiri, Kabilpore S.O, Navsari,Gujarat, India396424",396424,NaN
6,84 Kp Pragati Mehsana,A/2741/Mehsana,Gujarat, Mehsana ,"6/7/8, Prabhu Complax , Third Floor, Near Rajkamal Petrol Pump Highway, Mehsana",,NaN
7,9 To 9 Destiny Group Charitable Trust,E/7299,Gujarat, Surat ,"D-110,Mahadev Nagar,Parvat Gam,Surat",,NaN
8,A S Foundation And Charitable Trust,F/5655/BK,Gujarat, Palanpur ,A S Foundation And Charitable Trust65 Shakti Nagar Near Brijashvar Colony Part:1 Palanpur Dist: Banshkantha Pin 385001 Gujarat,385001,Vocational Training
9,A V Vision Foundation,F/19382/AHMEDABAD,Gujarat, Ahmedabad ,"B-211, Rudra Arcade, B/S. Mayflower Hospital, Helmet Circle, Memnagar , Ahmedabad.",,Health & Family Welfare
10,A.V. Jasani T.B Hospital Trust,E-71 Rajkot,Gujarat, Rajkot ,"""Yogidham Gurukul"", Kalawad Road, Rajkot360005",360005,NaN
1,Aastha,1030/Goa/2010,Goa, Mapusa ,"Nr. Urban Health Centre, Ghateshwarnagar, Khorlim, Mapusa.",,"Differently Abled,Education & Literacy,Vocational Training"
2,Abhivyaktee,172/Goa/2001,Goa, Panaji ,Abhivyakteepanajic/O Sandip Deshpandea/3 Kamdhenudr D.V.Roadpanajigoa 403001,403001,Art & Culture
3,Adarsh Krishi Kharedi Vikri Prakriya Sahakari Saunstha Maryadit,5/486/1993/ARS2/MKT,Goa, Cancolim Bali ,Karwar Main Road Bali Cuncoligoa South- ,,"Agriculture,Food Processing,Rural Development & Poverty Alleviation"
4,Adarsh Vidya Prasarak Mandal,12/1964,Goa, Shiroda ,C/O Smt Kamlabai Hede High School.Shiroda-Ponda-Goa,,Education & Literacy
5,Adarsh Yuva Sangh Gaondongri Kotigao,94/Goa/2002,Goa, Goa ,"Gaondongrimkotigao, Canacona,",,NaN
6,Adventz Foundation,488/Goa/2011,Goa, Mormugao ,"Jai Kisaan Bhawan, Zuarinagar",,"Education & Literacy,Agriculture,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Skill Development"
7,Aggressive Goans,54/GOA/2019,Goa, Ponda ,"Kapileshwari, Ponda Goa",,"Agriculture,Art & Culture,Education & Literacy,Environment & Forests,Human Rights,Labour & Employment,Legal Awareness & Aid,New & Renewable Energy,Panchayati Raj,Prisoner's Issues,Right to Information & Advocacy,Rural Development & Poverty Alleviation,Women's Development & Empowerment,Skill Development"
8,Aic-Gim Foundation,U93090GA2018NPL013511,Goa, Sanquelim ,C/O Goa Institute Of Management Poriem Sattari North Goa Ga 403000 In,403000,NaN
9,Akhil Gomantak Maratha Rajak Samaj,41/Goa/89,Goa, Porvorim ,"Sant Gadge Maharaj Sabhagraha, Gadge Baba Chowk, Pundalik Nagar, Alto Porvorim, Bardez Goa",,"Aged/Elderly,Women's Development & Empowerment,Youth Affairs"
10,Akhil Vishwa Jai Shriram Gosanvardhan Kendra Valpoi ,"1 Of Book No.IV, Vol I ",Goa," Vol I , Valpoi ","H,No:-61/1,Betkikarwada,Nanus Valpoitaluka- Sattari, District-North, State-Goa",,"Animal Husbandry, Dairying  &  Fisheries"
1,Aim Education Society ,11/2009,Daman & Diu, Moti Daman ,"Bhitwadi, Daman Wada,Near Moti Daman. 396220. Daman ",396220,"Education & Literacy,Information & Communication Technology"
2,Damini Women'S Foundation,06/2012,Daman & Diu, Daman ,"Hiren Park, Wing Bcross Lane 3, Tinbattidilipnagarnani Daman",,"Art & Culture,Children,Differently Abled,Education & Literacy,Aged/Elderly,Environment & Forests,Food Processing,Health & Family Welfare,Information & Communication Technology,Labour & Employment,Sports,Vocational Training,Women's Development & Empowerment,Youth Affairs"
3,Holy Name Church,HQ-II/C-64/SR/78,Daman & Diu, Moti Daman ,"At Post.Moti Damandist- Ut, Pin- 396220",396220,Education & Literacy
4,"Jan Shikshan Santhan, Diu",04/2021-22,Daman & Diu, Diu ,"Swaminarayan School, Fudam, Diu-362520",362520,"Skill Development,Education & Literacy,Science & Technology,Tourism,Vocational Training,Women's Development & Empowerment,Any Other"
5,Manav Kalyan Youth Welfare Union Trust,Soc/Col/Diu/2004-05/02,Daman & Diu, Vanakbara ,"H.No. 2335, Khajuriya Street, Main Road, Vanakbara - Diu.Pin-362570.",362570,NaN
6,Om Sai Kalyan Samiti Darbhanga,ggggggggggg5,Daman & Diu, Ara ,Yhjfgyghgh,,Any Other
7,Our Lady Of Remedios Church,HQ-II/C-72/SR/78,Daman & Diu, Moti Daman ,"At Post. Moti Damandist- Ut, Pin- 396220",396220,Education & Literacy
8,Our Lady Of The Sea Church,HQ-II/O-8/SR/78,Daman & Diu, Nani Daman ,"At Post.Nani Damandist- Ut, Pin- 396210",396210,Education & Literacy
9,Samast Yuva Mandal,03/2018-19,Daman & Diu, Diu ,"H.No,704, Jalaram Society, Vanakbara",,"Agriculture,Art & Culture,Disaster Management,Education & Literacy,Health & Family Welfare,Panchayati Raj,Sports,Youth Affairs"
10,Sanyukt Yuva Mandal,07/2012-13,Daman & Diu, Diu ,"H.No,704, Jalaram Society, Vanakbara",,"Agriculture,Art & Culture,Disaster Management,Education & Literacy,Health & Family Welfare,Information & Communication Technology,Panchayati Raj,Sports,Youth Affairs,Agriculture,Art & Culture,Disaster Management,Education & Literacy,Health & Family Welfare,Panchayati Raj,Sports,Youth Affairs"
1,Association For India International Mediation And Arbitration Services,U85300DL2020NPL366426,Delhi, South Delhi ,"F-2 Basement, Kailash Colony, Delhi South Delhi Dl 110048",110048,NaN
2,Association For Social Service And Rehabilitation Of The Aged Assra,42540 OF 2002,Delhi, New Delhi ,"Bb-9-G, Dda Flats, Munirka, Third Floor",,"Education & Literacy,Health & Family Welfare,Aged/Elderly,Differently Abled,Environment & Forests,Rural Development & Poverty Alleviation,Tribal Affairs,Vocational Training,Women's Development & Empowerment"
