ngoid,state,district,ngoname,orgemail,physicaladdress,officephone,orgtype,chairmanname
63, Gujarat ,Junagadh,Samprat Education and Charitable Trust-Junagarh,samprat.jnd@gmail.com,"410, To. Dungarpurbilkharod, Opp. Near Nandkisor Narsy,, Vijapur Street,Dist. Junagadh, Ta. Junagadh. - 362263", 9913-236691 ,"Disha,Samarth,Vikaas,Badhte Kadam Niramaya",Parmar Mahendrabhai Jashabhai
64, Gujarat ,Rajkot,The Society for the Mentally Retarded,mentally@rediffmail.com,"Opp B T Savani Kidney Hospital, University Roadnera Snk School, Rajkot - 360005", 9825-218252 ,,Hitesh N Kanabar
65, Gujarat ,Ahmedabad,National Society for Equal Opportunities for the Handicapped Gujarat,naseohgujarat@gmail.com,"Naseoh (Gujarat), Besides Navrangpura Bus Standopp. Navrangpura Post-Office, Ahmedabad - 380009", 9825-027701 ,,Maulesh Shah
66, Gujarat ,Bhavnagar,Ankur Special School for Mentally Retarded Children,ankurmrschool.bvn@gmail.com,"Plot No. 1945, Near Working Womens Hostelsardarnagar Circle, Bhavnagar - 364002", 9925-537878 ,Vikaas Niramaya,Alpeshbhai K Sheth
67, Gujarat ,Surat,Mavjat Parents Association Of Mentally Challenged Persons and Charitable Trust,mavjat@gmail.com,"22 Sugam Society ,, Adajan Patiyarander Road, Surat, Surat - 396009", 9824-959644 , Niramaya,Nilesh R Vyash
68, Gujarat ,Bhavnagar,Smt. Parsanben Narandas Ramji Shah(Talajawala) Society for Relief Rehabilitation Of the Disabled,pnrsociety.cpschool@gmail.com,"Nataraj Research Center And Training College Campus, Nr. Sardar Patel School, ,Kaliyabid, Bhavnagar - 364002", 9327-543757 ,"Vikaas,Disha,Badhte Kadam,Sahyogi Niramaya",Paras C Shah
69, Gujarat ,Gir Somnath,Jeevandeep Health Education and Charitable Trust Kodinar,jeevandeepkodinar@gmail.com,"24-25, At. Gohil Ni Khan (Og Area) , Jeevandeepnear Chorwadi Mandir, Bypass Road, Kodinar, Kodinar - 362725", 9898-320881 ,"Disha,Vikaas,Badhte Kadam Niramaya",Sidik Chavda
70, Gujarat ,Navsari,Manav Kalyan Trust Navsari Gujarat,manavkalyantrust@yahoo.co.in,"C.L.Parikh Mamta Mandir Maheshbhai Kothari Marg, At Po - Vijalporeta. Jalalpore, Navsari - 396450", 9712-283860 ,,Viratkumar Pravinchandra Kothari
71, Gujarat ,Ahmedabad,Blind Peoples Association (India),mihirjgd@gmail.com,"Andhjan Mandal, 132 Ring Road, Opp. Iima, Vastrapur, Ahmedbadjagdish Chowk,, Ahmedabad - 380015", 9825-014210 ,"Disha,Badhte Kadam,Sahyogi Niramaya",Dr. Bhushan Punani
72, Gujarat ,Rajkot,Prayas Parents Association for Children With Special Needs,infoprayasassociation3605@gmail.com,"School No. 69 Old Building, Ambaji Kadva Plot No - 2Krishnanagar Main Road, Rajkot - 360004", 8128-138092 ,,Pooja Sureshbhai Patel
73, Gujarat ,Valsad,Jaina Anupam N Parmar Charitable Trust,jainaanupam@gmail.com,"Jaina Anupam N Parmar Charitable Trust, Kailash Roadnr. Kailash Owara High School, Valsad - 396001", 9409-419251 ,,Dr. Chetanaben Davada
74, Gujarat ,Dahodd,Blind Welfare Council,bwcdahod@gmail.com,"695/1, Mandaav Roadopp. - Panchmukhi Hanuman Temple, P.O. Box - 115, Dahod - 389151", 9429-146152 ,"Disha,Vikaas Niramaya",Yusufi F Kapadiya
75, Gujarat ,Gandhinagar,Sadhna-parents Association for Mentally Challenged Persons,bprasad1655@yahoo.com,"Plot No. 106/2,, Sector-3/A,Nr. Ambaji Temple, Gandhinagar - 382006", 9898-594350 , Niramaya,Gangarambhai K. Patel
76, Gujarat ,Surat,Universal Welfare Trust Of India,universalwelfare@yahoo.com,"Rampara Kharvasa Road, Nr Punchmukhi Hanumanji Templebardoli, Bardoli - 394601", 9825-141545 , Niramaya,Kishor Mohanlal Solanki
77, Gujarat ,Ahmedabad,Self Care,selfcare2009@gmail.com,"Shop No, Gf-6, Shop No, Gf-6, Ayana Complex Opp Suvarnavilla Bunglows,100 Ft Thaltej-Hebatpur, Thaltejnear Shell Petrol Pump, Ahmedabad - 380059", 9898-066390 , Niramaya,Juhi Paresh Kishnani
78, Gujarat ,Ahmedabad,Navjeevan Charitable Trust,nileshnavjeevan@gmail.com,"Survey No. 5, Thakor Vas,, Nr,Shiv Mandir Memnagar Gamb/H Jogni Temple Gully,Memnagar, Ahmedabad - 380052", 9824-263608 ,,Dr. Subhash Apte
79, Gujarat ,Morbi,Shree Navjivan Viklang Sevashray,navjeevan.joshy@gmail.com,"Opp.220 K.V Substation, Gidc Areahalvad, Halvad - 363330", 9558-965101 ,,Jitendra G Joshi
80, Gujarat ,Ahmedabad,Bharat Lokhit Seva Samiti,contact@chinmayindia.org,"1/B-2/A, Azadnagar, Nr.Rishikesh Vidhyalayanavi Fatehwadi, Sarkhej, Ahmedabad - 382210", 9898-148297 ,,Dr. Garga Bhogilal Shukla
81, Gujarat ,Vadodara,Disha Charitable Trust,dishaschoolbaroda@gmail.com,"62, Sampatrao Colony, Opp. Circuit Housealkapuri, Vadodara - 390005", 9227-108880 ,,Mr. Naresh Chawla
82, Gujarat ,Ahmedabad,Omkar Foundation Trust,omkarfoundationtrust@gmail.com,"56, H. A. Marketnr. Railway Station, Ahmedabad - 380002", 9879-048757 ,Badhte Kadam,Kinjal Ashokkumar Shah
83, Gujarat ,Rajkot,Aekrang Childrens Development Institute,aekrang.institute@gmail.com,"53, Street No. 4Vishwakarma Society, Sadhuvasvani Road, Rajkot - 360005", 9137-690064 , Niramaya,Deepika Prajapati
84, Gujarat ,Ahmedabad,Aastha Charitable Trust for Welfare Of the Mentally Challenged,ananddham2016@gmail.com,"Village - Adroda, Ta: Bavlaopp: Kings Villa, Bavla - 382220", 7698-677110 ,,Nitesh Solanki
85, Gujarat ,Bharuch,Asmita Vikas Kendra,asmitavikaskendratralsa@gmail.com,"1, Nabupur- Dayadra Roadtralsa, Bharuch - 392020", 9427-117178 ,,Yashwantbhai M Patel
86, Gujarat ,Sabarkantha (Himmatnagar),Sabarkantha Charitable Trust Sanchalit Institution for Mentally Retarded Children,mr21hmt@gmail.com,"Nr Adari Ciramics Plot 12, B H Krishna Hotelhimatnagar (M), Himmatnagar - 383001", 9998-828975 , Niramaya,Kunjbiharibhai Jashbhai Patel
87, Gujarat ,Vadodara,Medical Care Centre Trust,hasmukhrathawa78@gmail.com,"K.G. Patel Children Hospital, Jalaram Marg,Karelibaug,, Vadodara - 390018", 8140-073278 , Niramaya,Dr. Jagdish Patel
88, Gujarat ,Kachchh-Bhuj,Shri Navchetan Andhjan Mandal,info@navchetan.org,"Viklang Vidya Vihar, Bhuj Anjar Highwayopp.- Mother Dairy, Madhapar, Taluka- Bhuj Dist- Kuchchh - 370020", 9825-226598 ,,Laljibhai Prajapati
89, Gujarat ,Ahmedabad,Health & Care Foundation,poliofoundation@gmail.com,"Indukaka Ipco Wala Seva Sansthan, Pavansut Socity, Opp.Rajwadu Hoteljivraj Park, Ahmedabad - 380051", 9825-349108 , Niramaya,Dr.Prakash Bhatt
90, Gujarat ,Mahesana,"Khodiyar Education Trust, Mehsana",khodiyareducationtrust@yahoo.in,"1/23, Panjarapol Building,Near Azad Chok,, Mehsana (Gujarat) - 384001", 9825-199379 ,"Disha,Badhte Kadam Niramaya",Vishnubhai M. Chaudhary
91, Haryana ,Hisar,Dot Army Wives Welfare Association Asha School,ashahisar@gmail.com,"4 Mech Inf (1 Sikh), Military Station Hisar, Hisar Cantt. - 125006", 8059-391041 , Niramaya,Mrs Sharmil Nagar
92, Haryana ,Karnal,Tapan Rehabilitation Society,sujatavspk@yahoo.com,"Tapan Rehabilitation Society,, Pragya Institute For Education Training Of Disabledg T Road, Near Police Post, Nilokheri ,, Karnal - 132117", 9416-191483 ,"Disha,Sahyogi,Badhte Kadam Niramaya",Dr. Sujata
93, Haryana ,Kurukshetra,Society for Education and Empowerment Of Disadvantage,seedkurukshetra@gmail.com,"Kheri Markanda, Khedimarkanda, Partapgarh Road, Kurukshetra, Haryana, India, 136118Haryana, Kurukshetra - 136118", 9812-089840 ,,Jai Prakash Keshari
94, Haryana ,Bhiwani,Adarsh Para Medical Welfare Association,adarshmitc@gmail.com,"Na, Uttam Nagar, Loharu Roadnear Chara Mandi,, Bhiwani(Hry.) - 127021", 9729-080045 ,"Vikaas,Badhte Kadam,Sahyogi",Dr.Rajesh Kumar
95, Haryana ,Faridabad,Tender Heart Education Society,tenderheartngo@yahoo.com,"695, Sector 28, Faridabad - 121003", 9350-844393 , Niramaya,Renu Bali
96, Haryana ,Yamunanagar,Aarohan Welfare Society,aarohanwelsoc@gmail.com,"132, Professor Colony Opp Dav Physiotherapy College, Yamuna Nagar - 135001", 9355-370656 , Niramaya,Dr Ritu Soni
97, Haryana ,Jind,Darpan Communication Society,darpanjind@gmail.com,"881/18, Shiv Colony,Jind, Jind - 126102", 8607-855300 ,,Shri Bhagwan Rana
98, Haryana ,Rewari,Nav Prerna,navprerna3441@yahoo.com,"Sh Ganeshi Lal Goyal Dharmshala, Radha Swami Colony, Sector3Near Gymkhana Club, Rewari - 123404", 9812-160556 ,Vikaas,Harish Malik
99, Haryana ,Gurgaon,"Vishwas,vision for Health Welfare Special Needs",admn.vishwas@gmail.com,"Vishwas Vision For Health Welfare And Special Needs, Sector-46, Arya Samaj Roadnear Unitech Cyber Park, Gurgaon - 122002", 8178-047774 , Niramaya,Neelam Jolly
100, Haryana ,Gurgaon,Khushboo Welfare Society,khushboowelfaresociety@gmail.com,"02, Sector-10Anear Lions Public School, Gurgaon - 122001", 9971-698963 ,,Vijay Pal
101, Haryana ,Ambala,Novelty Education Society,pgambhir2001@gmail.com,"Novelty Complex, #5173-74, Noverlty Complexbazaza Bazar, Ambala Cantt. - 133001", 9416-394173 , Niramaya,Satya Pal
102, Himachal Pradesh ,Mandi,Sahyog Bal Shravan Viklang Kalyan Samiti,nksharma52@yahoo.com,"244/7, National Street, Near Pnb Moti Bazar, Mandi - 175001", 9418-023539 ,,Narender Kumar Sharma
103, Himachal Pradesh ,Kangra,Cord (Chinmaya Organisation for Rural Development),cordsidhbari@gmail.com,"9/1, Village And Post Office Sidhbaritehsil Dharmashala, Dharamsala - 176057", 9816-655592 , Niramaya,Dr. Kshama Metre
104, Himachal Pradesh ,Una,Prem Ashram Institute Of Sisters Of Charity,vincyalex009@gmail.com,"000, Takka Roadnear Hrtc Workshop, Una - 174303", 7831-014330 ,,Jibin Mol V.V
105, Himachal Pradesh ,Solan,Ganpati Educational Society,sharma.roshan@yahoo.co.in,"...., Near Telephone Exchangetelephone Exchange, Kunihar - 173207", 9418-079043 ,"Vikaas,Disha,Sahyogi",Roshan Lal Sharma
106, Himachal Pradesh ,Mandi,Sakar Society for Differently Abled Persons,sakarsociety@yahoo.in,"Vil- Dohwan,, Sunder Nagarmandi, Himachal Pradesh - 175002", 9816-018605 ,"Disha,Vikaas",Sheetal Sharma
107, Himachal Pradesh ,Hamirpur,Pehchan Education Society,pehchan.hmr@gmail.com,"Vill. Chunal, Jhaniaranear Central School, Hamirpur - 177001", 7018-512743 ,,Chetna Sharma
108, Himachal Pradesh ,Sirmaur,Aastha Welfare Society,aasthanahan@gmail.com,"Aastha Welfare Society, Pucca Tanknear Panchayat Bhawan, Nahan - 173001", 9418-035001 ,,Rajeev Bhandari
109, Himachal Pradesh ,Shimla,Udaan Parents and Guardians Society Of Mentally Challenged Children,udaanhp@gmail.com,"B-16, Sector- 2,,, New Shimlanear Community Center, Shimla - 171009", 9418-395095 ,Vikaas,Madhuri Sood
110, Himachal Pradesh ,Una,Human Rights Protection Cell and Welfare Association Ashhraya Siddyana Tobba Lower Dehlan Distt Una,ashhraya@gmail.com,"Sadyana Tobba, Dehlan Bedharer Roadcommunity Centre, Lower Dehlan - 174306", 9736-980666 ,,Suresh Kumar
111, Jharkhand ,Ranchi,"Deepshikha, Institute for Child Development and Mental Health(A Unit Of Purshree)",deepshikhainfo@gmail.com,"Arya Samaj Mandir, Swami Shradhanand Roadupper Bazar Ranchi, Jharkhand - 834001", 9334-423789 ,Badhte Kadam Niramaya,Sudha Lhila
