S.No.,State,District,Organization Name,Email,Address,Phone No.,Schemes Enrolled,Authorized Person
54, Chattisgarh ,Bilaspur											,Vikas Seva Sanstha Samalpuri Bilaspur,vssgarounda2000@gmail.com,"
												domuhani, Garima Press Parisar Tilak Nagar Chantapara Bilaspur C.G.Behaind Chowkse Coledge Lal Khadan, Bilaspur - 495001   
											", 9827186959 ,"
																																															",Smt. Anshu Gour
55, Goa ,North Goa											,Disha Charitable Trust,disha.sare.ansh@gmail.com,"
												Disha Charitable Trust, 18 June RoadBehind Directorate Of Education, Panaji, Goa - 403001   
											", 9822980015 ,"
																																															",Sandhya Kalokhe
56, Goa ,South Goa											,Lokvishwas Pratishthan Special School,morearvind74@rediffmail.com,"
												6/3, Shantadurga KrupashramDhavali, Ponda - 403401   
											", 9422059580 ,"
																																															",Shri. Anup S.S. Priolkar
57, Goa ,North Goa											,Anand Niketan School For Differently Abled Run By Aastha,anandniketangoa@gmail.com,"
												1, Ghateshwarnagar,Nr. Urban Health CentreKhorlim, Mapusa, Mapusa - 403507   
											", 7499461832 ,"
																																															",Mr. Guruprasad Pawaskar
58, Goa ,North Goa											,Sangath,contactus@sangath.in,"
												451/168, Bhatkar vaddoSocorro Porvorim, Porvorim - 403501   
											", 9881499458 ,"
																																															",Ms. Monica Bariya
59, Goa ,North Goa											,SETHU,reachus@sethu.in,"
												35, Defence Colony, Alto PorvorimDefence Colony, Porvorim - 403521   
											", 7720013749 ,"
												Badhte Kadam,Badhte Kadam,Sahyogi,Badhte Kadam,Badhte Kadam,Sahyogi,Sahyogi,Sahyogi,Badhte Kadam,Badhte Kadam,Badhte Kadam,Sahyogi,Sahyogi,Badhte Kadam,Badhte Kadam																																			",Dr. Nandita De Souza
60, Gujarat ,Valsad											,MANOVIKAS CHARITABLE TRUST,mohanbdeo59@gmail.com,"
												MANOVIKAS CHARITABLE TRUST, DEGAM VAPIH B PRIMARY SCHOOL, VAPI - 396191   
											", 8141814494 ,"
																								 												Niramaya											",Dr. Mohan B. Deo
"
																								",,,,,,,,
 Page 6 of 55 ( 542 records ) ,,,,,,,,
61, Gujarat ,Surendranagar											,Ashirwad Viklang Trust,atfd.sayla@yahoo.in,"
												4, B/H, Police StationNational Highway, Sayla, Dist. Surendranagar - 363430   
											", 9328950340 ,"
												Badhte Kadam,Disha,Vikaas												 												Niramaya											",R.S.JADAV
62, Gujarat ,Ahmedabad											,Shah Jaswantlal Jiwanlal Charitable Trust,jjctrehab@gmail.com,"
												301,302,303 Aagam Complex, APMC Market RoadB/s Vasna Police Station, Vasna, Ahmedabad - 380051   
											", 9825877370 ,"
																																															",Yashesh Shah
63, Gujarat ,Junagadh											,Samprat Education and Charitable Trust-Junagarh,samprat.jnd@gmail.com,"
												410, To. Dungarpurbilkharod, opp. near nandkisor narsy,, vijapur street,dist. junagadh, ta. junagadh. - 362263   
											", 9913236691 ,"
												Disha,Samarth,Vikaas,Badhte Kadam												 												Niramaya											",Parmar Mahendrabhai Jashabhai
64, Gujarat ,Rajkot											,The Society For The Mentally Retarded,mentally@rediffmail.com,"
												Opp B T savani Kidney Hospital, University RoadNera SNK School, Rajkot - 360005   
											", 9825218252 ,"
																																															",Hitesh N Kanabar
65, Gujarat ,Ahmedabad											,NATIONAL SOCIETY FOR EQUAL OPPORTUNITIES FOR THE HANDICAPPED GUJARAT,naseohgujarat@gmail.com,"
												NASEOH (GUJARAT), BESIDES NAVRANGPURA BUS STANDOPP. NAVRANGPURA POST-OFFICE, AHMEDABAD - 380009   
											", 9825027701 ,"
																																															",Maulesh Shah
66, Gujarat ,Bhavnagar											,Ankur Special School For Mentally Retarded Children,ankurmrschool.bvn@gmail.com,"
												PLOT NO. 1945, NEAR WORKING WOMENS HOSTELSARDARNAGAR CIRCLE, BHAVNAGAR - 364002   
											", 9925537878 ,"
												Vikaas												 												Niramaya											",Alpeshbhai K Sheth
67, Gujarat ,Surat											,Mavjat Parents Association Of Mentally Challenged Persons and Charitable Trust,mavjat@gmail.com,"
												22 SUGAM SOCIETY ,, ADAJAN PATIYARANDER ROAD, SURAT, SURAT - 396009   
											", 9824959644 ,"
																								 												Niramaya											",NIlesh R Vyash
68, Gujarat ,Bhavnagar											,Smt. Parsanben Narandas Ramji Shah(Talajawala) Society for Relief  Rehabilitation of the Disabled,pnrsociety.cpschool@gmail.com,"
												Nataraj Research Center and Training College Campus, Nr. Sardar Patel School, ,Kaliyabid, Bhavnagar - 364002   
											", 9327543757 ,"
												Vikaas,Disha,Badhte Kadam,Sahyogi												 												Niramaya											",Paras C Shah
69, Gujarat ,Gir Somnath											,JEEVANDEEP HEALTH EDUCATION AND CHARITABLE TRUST KODINAR,jeevandeepkodinar@gmail.com,"
												24-25, AT. Gohil ni Khan (OG Area) , JeevandeepNear Chorwadi Mandir, Bypass Road, Kodinar, KODINAR - 362725   
											", 9898320881 ,"
												Disha,Vikaas,Badhte Kadam												 												Niramaya											",Sidik Chavda
70, Gujarat ,Navsari											,MANAV KALYAN TRUST NAVSARI GUJARAT,manavkalyantrust@yahoo.co.in,"
												C.L.PARIKH MAMTA MANDIR MAHESHBHAI KOTHARI MARG, AT  PO - VIJALPORETA. JALALPORE, NAVSARI - 396450   
											", 9712283860 ,"
																																															",VIRATKUMAR PRAVINCHANDRA KOTHARI
"
																								",,,,,,,,
 Page 7 of 55 ( 542 records ) ,,,,,,,,
71, Gujarat ,Ahmedabad											,Blind Peoples Association (India),mihirjgd@gmail.com,"
												Andhjan Mandal, 132 Ring Road, Opp. IIMA, Vastrapur, AhmedbadJagdish Chowk,, Ahmedabad - 380015   
											", 9825014210 ,"
												Disha,Badhte Kadam,Sahyogi												 												Niramaya											",Dr. Bhushan Punani
72, Gujarat ,Rajkot											,Prayas Parents Association For Children With Special Needs,infoprayasassociation3605@gmail.com,"
												School no. 69 old building, ambaji kadva plot no - 2krishnanagar main road, rajkot - 360004   
											", 8128138092 ,"
																																															",pooja sureshbhai patel
73, Gujarat ,Valsad											,Jaina Anupam N Parmar Charitable Trust,jainaanupam@gmail.com,"
												Jaina Anupam N Parmar Charitable Trust, Kailash RoadNr. Kailash Owara High school, Valsad - 396001   
											", 9409419251 ,"
																																															",Dr. Chetanaben Davada
74, Gujarat ,Dahodd											,Blind Welfare Council,bwcdahod@gmail.com,"
												695/1, Mandaav RoadOpp. - Panchmukhi Hanuman Temple, P.O. Box - 115, Dahod - 389151   
											", 9429146152 ,"
												Disha,Vikaas												 												Niramaya											",Yusufi F Kapadiya
75, Gujarat ,Gandhinagar											,SADHNA-Parents Association for Mentally Challenged Persons,bprasad1655@yahoo.com,"
												Plot No. 106/2,, Sector-3/A,Nr. Ambaji Temple, Gandhinagar - 382006   
											", 9898594350 ,"
																								 												Niramaya											",Gangarambhai k. Patel
76, Gujarat ,Surat											,Universal Welfare Trust Of India,universalwelfare@yahoo.com,"
												RAMPARA KHARVASA ROAD, NR PUNCHMUKHI HANUMANJI TEMPLEBARDOLI, BARDOLI - 394601   
											", 9825141545 ,"
																								 												Niramaya											",kishor mohanlal solanki
77, Gujarat ,Ahmedabad											,SELF CARE,selfcare2009@gmail.com,"
												SHOP NO, GF-6, SHOP NO, GF-6, AYANA COMPLEX OPP SUVARNAVILLA BUNGLOWS,100 FT THALTEJ-HEBATPUR, THALTEJNEAR SHELL PETROL PUMP, AHMEDABAD - 380059   
											", 9898066390 ,"
																								 												Niramaya											",JUHI PARESH KISHNANI
78, Gujarat ,Ahmedabad											,NAVJEEVAN CHARITABLE TRUST,nileshnavjeevan@gmail.com,"
												Survey No. 5, Thakor Vas,, Nr,Shiv mandir Memnagar GamB/h Jogni Temple Gully,MEMNAGAR, Ahmedabad - 380052   
											", 9824263608 ,"
																																															",DR. SUBHASH APTE
79, Gujarat ,Morbi											,SHREE NAVJIVAN VIKLANG SEVASHRAY,navjeevan.joshy@gmail.com,"
												Opp.220 K.v Substation, GIDC AreaHalvad, Halvad - 363330   
											", 9558965101 ,"
																																															",JITENDRA G JOSHI
80, Gujarat ,Ahmedabad											,BHARAT LOKHIT SEVA SAMITI,contact@chinmayindia.org,"
												1/B-2/A, AZADNAGAR, NR.RISHIKESH VIDHYALAYANAVI FATEHWADI, SARKHEJ, AHMEDABAD - 382210   
											", 9898148297 ,"
																																															",DR. GARGA BHOGILAL SHUKLA
"
																								",,,,,,,,
 Page 8 of 55 ( 542 records ) ,,,,,,,,
81, Gujarat ,Vadodara											,Disha Charitable Trust,dishaschoolbaroda@gmail.com,"
												62, Sampatrao Colony, Opp. circuit HouseAlkapuri, Vadodara - 390005   
											", 9227108880 ,"
																																															",MR. NARESH CHAWLA
82, Gujarat ,Ahmedabad											,OMKAR FOUNDATION TRUST,omkarfoundationtrust@gmail.com,"
												56, H. A. MARKETNR. RAILWAY STATION, AHMEDABAD - 380002   
											", 9879048757 ,"
												Badhte Kadam																																			",KINJAL ASHOKKUMAR SHAH
83, Gujarat ,Rajkot											,aekrang childrens development institute,aekrang.institute@gmail.com,"
												53, STREET NO. 4VISHWAKARMA SOCIETY, SADHUVASVANI ROAD, Rajkot - 360005   
											", 9137690064 ,"
																								 												Niramaya											",Deepika Prajapati
84, Gujarat ,Ahmedabad											,Aastha Charitable Trust For Welfare Of The Mentally Challenged,ananddham2016@gmail.com,"
												Village - Adroda, Ta: BavlaOpp: Kings Villa, Bavla - 382220   
											", 7698677110 ,"
																																															",NITESH SOLANKI
85, Gujarat ,Bharuch											,ASMITA VIKAS KENDRA,asmitavikaskendratralsa@gmail.com,"
												1, NABUPUR- DAYADRA ROADTRALSA, BHARUCH - 392020   
											", 9427117178 ,"
																																															",YASHWANTBHAI  M PATEL
86, Gujarat ,Sabarkantha (Himmatnagar)											,SABARKANTHA CHARITABLE TRUST Sanchalit INSTITUTION FOR MENTALLY RETARDED CHILDREN,mr21hmt@gmail.com,"
												NR ADARI CIRAMICS PLOT 12, B H KRISHNA HOTELHIMATNAGAR (M), HIMMATNAGAR - 383001   
											", 9998828975 ,"
																								 												Niramaya											",KUNJBIHARIBHAI JASHBHAI PATEL
87, Gujarat ,Vadodara											,Medical Care Centre Trust,hasmukhrathawa78@gmail.com,"
												K.G. Patel Children Hospital, Jalaram Marg,Karelibaug,, Vadodara - 390018   
											", 8140073278 ,"
																								 												Niramaya											",Dr. Jagdish Patel
88, Gujarat ,Kachchh-Bhuj											,SHRI NAVCHETAN ANDHJAN MANDAL,info@navchetan.org,"
												VIKLANG VIDYA VIHAR, Bhuj Anjar HighwayOPP.- MOTHER DAIRY, MADHAPAR, TALUKA- BHUJ  DIST- KUCHCHH - 370020   
											", 9825226598 ,"
																																															",Laljibhai Prajapati
89, Gujarat ,Ahmedabad											,Health & Care Foundation,poliofoundation@gmail.com,"
												Indukaka IPCO wala Seva Sansthan, Pavansut socity, Opp.Rajwadu HotelJivraj Park, Ahmedabad - 380051   
											", 9825349108 ,"
																								 												Niramaya											",Dr.Prakash Bhatt
90, Gujarat ,Mahesana											,"KHODIYAR EDUCATION TRUST, MEHSANA",khodiyareducationtrust@yahoo.in,"
												1/23, Panjarapol Building,Near Azad Chok,, Mehsana (GUJARAT) - 384001   
											", 9825199379 ,"
												Disha,Badhte Kadam												 												Niramaya											",Vishnubhai M. Chaudhary
"
																								",,,,,,,,
 Page 9 of 55 ( 542 records ) ,,,,,,,,
91, Haryana ,Hisar											,DOT Army Wives Welfare Association Asha School,ashahisar@gmail.com,"
												4 MECH INF (1 SIKH), MILITARY STATION HISAR, Hisar Cantt. - 125006   
											", 8059391041 ,"
																								 												Niramaya											",Mrs Sharmil Nagar
92, Haryana ,Karnal											,Tapan Rehabilitation Society,sujatavspk@yahoo.com,"
												Tapan Rehabilitation Society,, Pragya Institute for Education  Training of DisabledG T Road, Near Police Post, Nilokheri ,, Karnal - 132117   
											", 9416191483 ,"
												Disha,Sahyogi,Badhte Kadam												 												Niramaya											",Dr. Sujata
