,S.No.,State,District,Organization Name,Email,Address,Phone No.,Schemes Enrolled,Authorized Person
30,31, Bihar ,Patna,Utkarsh Seva Sansthan,utkarshsevasansthan@gmail.com,"2H/77Bahadurpur Housing Colony, Mahatma Gandhi Nagar ,KankarbagNear Bhootnath Road, Patna - 800026   ", 8294370626 , Niramaya,Manisha Krishna
31,32, Bihar ,Gaya,Environmental Consultancy Vikash Centre,gsecovic@hotmail.com,"ECOVIC, South Lakhibag, Manpur,Near Laxmi Narayan Mandir, Gaya - 823003   ", 9431623779 ,,Vijay Kumar
32,33, Bihar ,Nalanda,Shri Arvind Foundaion,alok3722@gmail.com,"NH-33, AT-AJNAURA, PO-AJNAURANALANDA CONVENT ITI, BIHAR SHARIF - 803114   ", 8789173582 , Niramaya,Alok Kumar
33,34, Bihar ,Saharsa,Koshi Kshetriya Biklang Bidhwa Bridh Kalyan Samiti,koshibiklang1991@gmail.com,"D.B.Road, Saharsa, Behind of Punjab National BankNear of Rajdarbar Hotal, Saharsa - 852201   ", 6201099468 ,"Disha,Samarth",Binay Bhushan Prasad
34,35, Bihar ,Patna,Umang Bal Vikas Awasiya Viklang Prashikshan Sansthan,umangbalvikas@gmail.com,"FAIR FIELD COLONY, DIGHA GHATNEAR ASHADEEP, PATNA - 800011   ", 9470732392 ,,Satish Kumar
35,36, Bihar ,Patna,Laxmi Smriti Sewa Sansthan,lsss_society@rediffmail.com,"H/O SRI MITHILESH KUMAR SINGH, MITHAPUR B AREA BENGALI ROAD PATNANEAR HOPE HOSPITAL, Patna - 800001   ", 9507035981 ,Badhte Kadam,Dr Hemendu Kumar Singh
36,37, Bihar ,Muzaffarpur,Rani Laxmi Bai Mahila Vikas Samiti,saphal.muzaffarpur@gmail.com,"SAPHAL, SUSTA RAILWAY CROSSING, RAM DAYALU NAGAROPPOSITE HOTEL ATITHI, MUZAFFARPUR - 842002   ", 7294156409 ,,Usha Manaki
37,38, Bihar ,Nalanda,Shama Vikas Samiti,shamavikassamiti@gmail.com,"13, Ansar NagarMalahbigha, Islampur - 801303   ", 9431664173 ,"Samarth,Badhte Kadam,Vikaas,Vikaas",Md Nizam Uddin Ansari
38,39, Bihar ,Patna,Aastha Charitable and Welfare Society,druma.shankarsinha@gmail.com,"OPP PILLAR NO-56 NEAR MACHALI MARKET, RAZA BAZARMACCHALI MARKET, PATNA - 800014   ", 9334106629 ,"Badhte Kadam,Sahyogi,Disha,Vikaas",Dr Uma Shankar Sinha
39,40, Chandigarh ,Chandigarh,Indian National Portage Association,tehalkohli@gmail.com,"Room No. - 14-15, Karuna Sadan, Ist FloorRoom No. - 14-15, Sector - 11 - B, Chandigarh - 160011   ", 9417372091 ,Disha,Tehal Kohli
40,41, Chandigarh ,Chandigarh,National Association for the Blind Chandigarh and Punjab Branch,nabchd@yahoo.co.in,"Karuna Sadan, Room No. 6  7, Sector 11-B, Basement, Red Cross Society buildingSector 11-B, Chandigarh - 160011   ", 9779377377 ,Sahyogi,Vinod Chadha
41,42, Chandigarh ,Chandigarh,Umeed Society for Job Placement Of Mentally Challenged,umeedsociety31@gmail.com,"UMEED SOCIETY (H.O.), GRIID, AASHADEEP BUILDING, SECTOR 31NEAR POLICE STATION, CHANDIGARH - 160030   ", 9478376936 ,,Dr. B.S Chavan
42,43, Chattisgarh ,Dhamtari,Shanti Maitri Gramin Vikas Sansthan,shanti.maitri.gvs@gmail.com,"C/O MANOJ KUMAR SAHU WARD NO 10, VILLAGE AND POST DARBADARBA KURUD DHAMTARI, KURUD - 493661   ", 8319353001 ,"Samarth,Sahyogi,Badhte Kadam,Vikaas,Gharaunda",Manoj Kumar Sahu
43,44, Chattisgarh ,Raigarh,Unnayak Seva Samiti,ussrgh@gmail.com,"960/22, BEHIND UPBHOKTA FORAMSECOND TRANSFORMER KELO VIHAR COLONY, RAIGARH - 496001   ", 9827976100 ,"Gharaunda,Disha,Samarth,Badhte Kadam",Sidhanta Shankar Mohanty
44,45, Chattisgarh ,Korba,Ankur Special School - Unit Of Ankur Korba,ankurkorba@gmail.com,"HIG-100, HIG-100,M.P.Nagar, Korba - 495681   ", 9826134708 ,,Arundhati Kulkarni
45,46, Chattisgarh ,Korea,Robert Kanan Bala Smriti Sewa Sansthan,rkbsss2001@yahoo.in,"70, CHAINPURBaikuntpur Road, Manendragarh - 497442   ", 8109709730 ,,Sapna Choubey
46,47, Chattisgarh ,Raipur,Aakanksha Lions Institute Of Learning and Empowerment A Unit Of Lions Club Raipur Sewa Samiti,aakankshalsmh@yahoo.com,"Aakanksha Parisar, Avanti ViharNew Kachna Road, Raipur - 492001   ", 9826845678 ,,Krishna Kumar Nayak
47,48, Chattisgarh ,Surguja,Anamika Welfare Society,anamika.welfaresociety07@gmail.com,"26, Deviganj RoadBehind of Anamika Mobile, Ambikapur - 497001   ", 9926134076 ,,Reeta Agrawal
48,49, Chattisgarh ,Kanker,Gundadhur Seva Shikshan Sanstha,Gundadhur123@yahoo.com,"C-1,28/ 7SECTOR-7, NEW RAJENDRA NAGAR  RAIPURNEAR SAI RAM HOSPITAL, RAIPUR - 492001   ", 9201457567 ,,Anil Chandel
49,50, Chattisgarh ,Gariya Band,Prerak Samiti,prerak.gbd@gmail.com,"SAKSHAM , REHABILITATION TRAINING CENTER FOR PERSON WITH DISABILITY, GARIABAND ROAD,  RAJIMNEAR SINDHOURI CHOWK, Rajim - 493885   ", 9424218653 ,,Mr. R G Sinha
50,51, Chattisgarh ,Raipur,Samvedna Mansik Viklang Seva Sanstha,samvedna.smh@gmail.com,"52/509, Sundar NagarHoly Mother School, Raipur - 492013   ", 9302090820 ,,Meena Sharma
51,52, Chattisgarh ,Bastar,Manovikas Special School Aghanpur Jagdalpur Bastar Dist run by Bastar Viklang Seva Samiti,manovikasjdp@gmail.com,"93, Chatrapati Shivaji Ward no 35, AghanpurDharampura, Jagdalpur - 494001   ", 7748012890 ,,Sr Betsy Thomas
52,53, Chattisgarh ,Raipur,Kopal Vani Child Welfare Organization,kopalvani@gmail.com,"06, Sahaj Marg, Sunder NagarBehind KPS School, Raipur - 492013   ", 8871415388 ,Disha,Kopal Vani Child Welfare Organization
53,54, Chattisgarh ,Bilaspur,Vikas Seva Sanstha Samalpuri Bilaspur,vssgarounda2000@gmail.com,"domuhani, Garima Press Parisar Tilak Nagar Chantapara Bilaspur C.G.Behaind Chowkse Coledge Lal Khadan, Bilaspur - 495001   ", 9827186959 ,,Smt. Anshu Gour
54,55, Goa ,North Goa,Disha Charitable Trust,disha.sare.ansh@gmail.com,"Disha Charitable Trust, 18 June RoadBehind Directorate Of Education, Panaji, Goa - 403001   ", 9822980015 ,,Sandhya Kalokhe
55,56, Goa ,South Goa,Lokvishwas Pratishthan Special School,morearvind74@rediffmail.com,"6/3, Shantadurga KrupashramDhavali, Ponda - 403401   ", 9422059580 ,,Shri. Anup S.S. Priolkar
56,57, Goa ,North Goa,Anand Niketan School for Differently Abled run by Aastha,anandniketangoa@gmail.com,"1, Ghateshwarnagar,Nr. Urban Health CentreKhorlim, Mapusa, Mapusa - 403507   ", 7499461832 ,,Mr. Guruprasad Pawaskar
57,58, Goa ,North Goa,Sangath,contactus@sangath.in,"451/168, Bhatkar vaddoSocorro Porvorim, Porvorim - 403501   ", 9881499458 ,,Ms. Monica Bariya
58,59, Goa ,North Goa,Sethu,reachus@sethu.in,"35, Defence Colony, Alto PorvorimDefence Colony, Porvorim - 403521   ", 7720013749 ,"Badhte Kadam,Badhte Kadam,Sahyogi,Badhte Kadam,Badhte Kadam,Sahyogi,Sahyogi,Sahyogi,Badhte Kadam,Badhte Kadam,Badhte Kadam,Sahyogi,Sahyogi,Badhte Kadam,Badhte Kadam",Dr. Nandita De Souza
59,60, Gujarat ,Valsad,Manovikas Charitable Trust,mohanbdeo59@gmail.com,"MANOVIKAS CHARITABLE TRUST, DEGAM VAPIH B PRIMARY SCHOOL, VAPI - 396191   ", 8141814494 , Niramaya,Dr. Mohan B. Deo
60,61, Gujarat ,Surendranagar,Ashirwad Viklang Trust,atfd.sayla@yahoo.in,"4, B/H, Police StationNational Highway, Sayla, Dist. Surendranagar - 363430   ", 9328950340 ,"Badhte Kadam,Disha,Vikaas Niramaya",R.S.Jadav
61,62, Gujarat ,Ahmedabad,Shah Jaswantlal Jiwanlal Charitable Trust,jjctrehab@gmail.com,"301,302,303 Aagam Complex, APMC Market RoadB/s Vasna Police Station, Vasna, Ahmedabad - 380051   ", 9825877370 ,,Yashesh Shah
62,63, Gujarat ,Junagadh,Samprat Education and Charitable Trust-Junagarh,samprat.jnd@gmail.com,"410, To. Dungarpurbilkharod, opp. near nandkisor narsy,, vijapur street,dist. junagadh, ta. junagadh. - 362263   ", 9913236691 ,"Disha,Samarth,Vikaas,Badhte Kadam Niramaya",Parmar Mahendrabhai Jashabhai
63,64, Gujarat ,Rajkot,The Society for the Mentally Retarded,mentally@rediffmail.com,"Opp B T savani Kidney Hospital, University RoadNera SNK School, Rajkot - 360005   ", 9825218252 ,,Hitesh N Kanabar
64,65, Gujarat ,Ahmedabad,National Society for Equal Opportunities for the Handicapped Gujarat,naseohgujarat@gmail.com,"NASEOH (GUJARAT), BESIDES NAVRANGPURA BUS STANDOPP. NAVRANGPURA POST-OFFICE, AHMEDABAD - 380009   ", 9825027701 ,,Maulesh Shah
65,66, Gujarat ,Bhavnagar,Ankur Special School for Mentally Retarded Children,ankurmrschool.bvn@gmail.com,"PLOT NO. 1945, NEAR WORKING WOMENS HOSTELSARDARNAGAR CIRCLE, BHAVNAGAR - 364002   ", 9925537878 ,Vikaas Niramaya,Alpeshbhai K Sheth
66,67, Gujarat ,Surat,Mavjat Parents Association Of Mentally Challenged Persons and Charitable Trust,mavjat@gmail.com,"22 SUGAM SOCIETY ,, ADAJAN PATIYARANDER ROAD, SURAT, SURAT - 396009   ", 9824959644 , Niramaya,Nilesh R Vyash
67,68, Gujarat ,Bhavnagar,Smt. Parsanben Narandas Ramji Shah(Talajawala) Society for Relief Rehabilitation Of the Disabled,pnrsociety.cpschool@gmail.com,"Nataraj Research Center and Training College Campus, Nr. Sardar Patel School, ,Kaliyabid, Bhavnagar - 364002   ", 9327543757 ,"Vikaas,Disha,Badhte Kadam,Sahyogi Niramaya",Paras C Shah
68,69, Gujarat ,Gir Somnath,Jeevandeep Health Education and Charitable Trust Kodinar,jeevandeepkodinar@gmail.com,"24-25, AT. Gohil ni Khan (OG Area) , JeevandeepNear Chorwadi Mandir, Bypass Road, Kodinar, KODINAR - 362725   ", 9898320881 ,"Disha,Vikaas,Badhte Kadam Niramaya",Sidik Chavda
69,70, Gujarat ,Navsari,Manav Kalyan Trust Navsari Gujarat,manavkalyantrust@yahoo.co.in,"C.L.PARIKH MAMTA MANDIR MAHESHBHAI KOTHARI MARG, AT  PO - VIJALPORETA. JALALPORE, NAVSARI - 396450   ", 9712283860 ,,Viratkumar Pravinchandra Kothari
70,71, Gujarat ,Ahmedabad,Blind Peoples Association (India),mihirjgd@gmail.com,"Andhjan Mandal, 132 Ring Road, Opp. IIMA, Vastrapur, AhmedbadJagdish Chowk,, Ahmedabad - 380015   ", 9825014210 ,"Disha,Badhte Kadam,Sahyogi Niramaya",Dr. Bhushan Punani
71,72, Gujarat ,Rajkot,Prayas Parents Association for Children With Special Needs,infoprayasassociation3605@gmail.com,"School no. 69 old building, ambaji kadva plot no - 2krishnanagar main road, rajkot - 360004   ", 8128138092 ,,Pooja Sureshbhai Patel
72,73, Gujarat ,Valsad,Jaina Anupam N Parmar Charitable Trust,jainaanupam@gmail.com,"Jaina Anupam N Parmar Charitable Trust, Kailash RoadNr. Kailash Owara High school, Valsad - 396001   ", 9409419251 ,,Dr. Chetanaben Davada
73,74, Gujarat ,Dahodd,Blind Welfare Council,bwcdahod@gmail.com,"695/1, Mandaav RoadOpp. - Panchmukhi Hanuman Temple, P.O. Box - 115, Dahod - 389151   ", 9429146152 ,"Disha,Vikaas Niramaya",Yusufi F Kapadiya
74,75, Gujarat ,Gandhinagar,Sadhna-parents Association for Mentally Challenged Persons,bprasad1655@yahoo.com,"Plot No. 106/2,, Sector-3/A,Nr. Ambaji Temple, Gandhinagar - 382006   ", 9898594350 , Niramaya,Gangarambhai K. Patel
75,76, Gujarat ,Surat,Universal Welfare Trust Of India,universalwelfare@yahoo.com,"RAMPARA KHARVASA ROAD, NR PUNCHMUKHI HANUMANJI TEMPLEBARDOLI, BARDOLI - 394601   ", 9825141545 , Niramaya,Kishor Mohanlal Solanki
76,77, Gujarat ,Ahmedabad,Self Care,selfcare2009@gmail.com,"SHOP NO, GF-6, SHOP NO, GF-6, AYANA COMPLEX OPP SUVARNAVILLA BUNGLOWS,100 FT THALTEJ-HEBATPUR, THALTEJNEAR SHELL PETROL PUMP, AHMEDABAD - 380059   ", 9898066390 , Niramaya,Juhi Paresh Kishnani
77,78, Gujarat ,Ahmedabad,Navjeevan Charitable Trust,nileshnavjeevan@gmail.com,"Survey No. 5, Thakor Vas,, Nr,Shiv mandir Memnagar GamB/h Jogni Temple Gully,MEMNAGAR, Ahmedabad - 380052   ", 9824263608 ,,Dr. Subhash Apte
78,79, Gujarat ,Morbi,Shree Navjivan Viklang Sevashray,navjeevan.joshy@gmail.com,"Opp.220 K.v Substation, GIDC AreaHalvad, Halvad - 363330   ", 9558965101 ,,Jitendra G Joshi
79,80, Gujarat ,Ahmedabad,Bharat Lokhit Seva Samiti,contact@chinmayindia.org,"1/B-2/A, AZADNAGAR, NR.RISHIKESH VIDHYALAYANAVI FATEHWADI, SARKHEJ, AHMEDABAD - 382210   ", 9898148297 ,,Dr. Garga Bhogilal Shukla
80,81, Gujarat ,Vadodara,Disha Charitable Trust,dishaschoolbaroda@gmail.com,"62, Sampatrao Colony, Opp. circuit HouseAlkapuri, Vadodara - 390005   ", 9227108880 ,,Mr. Naresh Chawla
81,82, Gujarat ,Ahmedabad,Omkar Foundation Trust,omkarfoundationtrust@gmail.com,"56, H. A. MARKETNR. RAILWAY STATION, AHMEDABAD - 380002   ", 9879048757 ,Badhte Kadam,Kinjal Ashokkumar Shah
82,83, Gujarat ,Rajkot,Aekrang Childrens Development Institute,aekrang.institute@gmail.com,"53, STREET NO. 4VISHWAKARMA SOCIETY, SADHUVASVANI ROAD, Rajkot - 360005   ", 9137690064 , Niramaya,Deepika Prajapati
83,84, Gujarat ,Ahmedabad,Aastha Charitable Trust for Welfare Of the Mentally Challenged,ananddham2016@gmail.com,"Village - Adroda, Ta: BavlaOpp: Kings Villa, Bavla - 382220   ", 7698677110 ,,Nitesh Solanki
84,85, Gujarat ,Bharuch,Asmita Vikas Kendra,asmitavikaskendratralsa@gmail.com,"1, NABUPUR- DAYADRA ROADTRALSA, BHARUCH - 392020   ", 9427117178 ,,Yashwantbhai M Patel
85,86, Gujarat ,Sabarkantha (Himmatnagar),Sabarkantha Charitable Trust Sanchalit Institution for Mentally Retarded Children,mr21hmt@gmail.com,"NR ADARI CIRAMICS PLOT 12, B H KRISHNA HOTELHIMATNAGAR (M), HIMMATNAGAR - 383001   ", 9998828975 , Niramaya,Kunjbiharibhai Jashbhai Patel
86,87, Gujarat ,Vadodara,Medical Care Centre Trust,hasmukhrathawa78@gmail.com,"K.G. Patel Children Hospital, Jalaram Marg,Karelibaug,, Vadodara - 390018   ", 8140073278 , Niramaya,Dr. Jagdish Patel
87,88, Gujarat ,Kachchh-Bhuj,Shri Navchetan Andhjan Mandal,info@navchetan.org,"VIKLANG VIDYA VIHAR, Bhuj Anjar HighwayOPP.- MOTHER DAIRY, MADHAPAR, TALUKA- BHUJ  DIST- KUCHCHH - 370020   ", 9825226598 ,,Laljibhai Prajapati
88,89, Gujarat ,Ahmedabad,Health & Care Foundation,poliofoundation@gmail.com,"Indukaka IPCO wala Seva Sansthan, Pavansut socity, Opp.Rajwadu HotelJivraj Park, Ahmedabad - 380051   ", 9825349108 , Niramaya,Dr.Prakash Bhatt
89,90, Gujarat ,Mahesana,"Khodiyar Education Trust, Mehsana",khodiyareducationtrust@yahoo.in,"1/23, Panjarapol Building,Near Azad Chok,, Mehsana (GUJARAT) - 384001   ", 9825199379 ,"Disha,Badhte Kadam Niramaya",Vishnubhai M. Chaudhary
90,91, Haryana ,Hisar,Dot Army Wives Welfare Association Asha School,ashahisar@gmail.com,"4 MECH INF (1 SIKH), MILITARY STATION HISAR, Hisar Cantt. - 125006   ", 8059391041 , Niramaya,Mrs Sharmil Nagar
91,92, Haryana ,Karnal,Tapan Rehabilitation Society,sujatavspk@yahoo.com,"Tapan Rehabilitation Society,, Pragya Institute for Education  Training of DisabledG T Road, Near Police Post, Nilokheri ,, Karnal - 132117   ", 9416191483 ,"Disha,Sahyogi,Badhte Kadam Niramaya",Dr. Sujata
92,93, Haryana ,Kurukshetra,Society for Education and Empowerment Of Disadvantage,seedkurukshetra@gmail.com,"Kheri Markanda, Khedimarkanda, Partapgarh Road, Kurukshetra, Haryana, India, 136118HARYANA, Kurukshetra - 136118   ", 9812089840 ,,Jai Prakash Keshari
93,94, Haryana ,Bhiwani,Adarsh Para Medical Welfare Association,adarshmitc@gmail.com,"na, Uttam Nagar, Loharu RoadNear Chara Mandi,, Bhiwani(Hry.) - 127021   ", 9729080045 ,"Vikaas,Badhte Kadam,Sahyogi",Dr.Rajesh Kumar
94,95, Haryana ,Faridabad,Tender Heart Education Society,tenderheartngo@yahoo.com,"695, SECTOR 28, FARIDABAD - 121003   ", 9350844393 , Niramaya,Renu Bali
95,96, Haryana ,Yamunanagar,Aarohan Welfare Society,aarohanwelsoc@gmail.com,"132, professor colony  Opp DAV Physiotherapy college, Yamuna Nagar - 135001   ", 9355370656 , Niramaya,Dr Ritu Soni
96,97, Haryana ,Jind,Darpan Communication Society,darpanjind@gmail.com,"881/18, Shiv Colony,jind, JIND - 126102   ", 8607855300 ,,Shri Bhagwan Rana
97,98, Haryana ,Rewari,Nav Prerna,navprerna3441@yahoo.com,"SH GANESHI LAL GOYAL DHARMSHALA, RADHA SWAMI COLONY, SECTOR3NEAR GYMKHANA CLUB, REWARI - 123404   ", 9812160556 ,Vikaas,Harish Malik
98,99, Haryana ,Gurgaon,"Vishwas,vision for Health Welfare Special Needs",admn.vishwas@gmail.com,"Vishwas vision for health welfare  and special needs, sector-46, Arya Samaj roadnear unitech cyber park, Gurgaon - 122002   ", 8178047774 , Niramaya,Neelam Jolly
99,100, Haryana ,Gurgaon,Khushboo Welfare Society,khushboowelfaresociety@gmail.com,"02, Sector-10ANear Lions Public School, Gurgaon - 122001   ", 9971698963 ,,Vijay Pal
100,101, Haryana ,Ambala,Novelty Education Society,pgambhir2001@gmail.com,"Novelty Complex, #5173-74,  Noverlty ComplexBazaza Bazar, Ambala Cantt. - 133001   ", 9416394173 , Niramaya,Satya Pal
101,102, Himachal Pradesh ,Mandi,Sahyog Bal Shravan Viklang Kalyan Samiti,nksharma52@yahoo.com,"244/7, National Street, Near Pnb Moti Bazar, Mandi - 175001   ", 9418023539 ,,Narender Kumar Sharma
102,103, Himachal Pradesh ,Kangra,Cord (Chinmaya Organisation for Rural Development),cordsidhbari@gmail.com,"9/1, Village and post office SidhbariTehsil  Dharmashala, Dharamsala - 176057   ", 9816655592 , Niramaya,Dr. Kshama Metre
103,104, Himachal Pradesh ,Una,Prem Ashram Institute Of Sisters Of Charity,vincyalex009@gmail.com,"000, Takka RoadNear HRTC Workshop, Una - 174303   ", 7831014330 ,,Jibin Mol V.V
104,105, Himachal Pradesh ,Solan,Ganpati Educational Society,sharma.roshan@yahoo.co.in,"...., Near Telephone ExchangeTELEPHONE EXCHANGE, KUNIHAR - 173207   ", 9418079043 ,"Vikaas,Disha,Sahyogi",Roshan Lal Sharma
